Observation,Treated,Age,Education (years),Black,Hispanic,Married,Real income Before ($),Real income After ($)
161,0,21,9,0,0,0,1577.167,1740.199
162,0,21,10,1,0,0,922.5729,0
163,0,21,10,1,0,0,1162.362,39483.53
164,0,21,10,1,0,1,1785.18,6831.106
165,0,21,11,0,1,0,8920.471,20857.84
166,0,21,11,1,0,1,7244.561,8976.826
167,0,21,11,1,0,1,7652.12,8396.654
168,0,21,11,1,0,0,1862.889,11630.66
169,0,21,11,1,0,0,0,1553.291
170,0,21,12,1,0,0,449.0479,0
171,0,21,12,0,0,0,5440.815,11544.01
172,0,21,14,1,0,0,0,5775.062
173,0,21,14,1,0,0,5926.795,29408.04
174,0,22,7,1,0,0,13503.77,11607.09
175,0,22,8,0,1,0,0,9920.945
176,0,22,8,1,0,0,6150.52,0
177,0,22,8,1,0,0,0,1390.509
178,0,22,9,1,0,0,506.4076,604.1987
179,0,22,9,1,0,0,0,0
180,0,22,9,1,0,0,0,12898.38
181,0,22,10,1,0,0,1765.676,0
182,0,22,10,0,0,1,23031.98,5448.801
183,0,22,10,1,0,0,2174.955,5344.021
184,0,22,10,1,0,0,0,0
185,0,22,10,1,0,0,13732.98,10770.96
186,0,22,10,0,0,0,10598.67,7094.92
187,0,22,10,1,0,0,0,0
188,0,22,11,1,0,0,0,0
189,0,22,11,1,0,1,0,1698.304
190,0,22,11,1,0,0,2707.372,100.6998
191,0,22,11,1,0,0,1321.66,2639.29
192,0,22,11,1,0,0,875.2615,9139.652
193,0,22,11,1,0,0,6974.484,3708.719
194,0,22,12,1,0,1,9352.199,8072.181
195,0,22,12,1,0,0,2003.68,439.6881
196,0,22,12,1,0,0,0,0
197,0,22,12,1,0,0,532.2536,1333.445
198,0,22,12,1,0,0,2158.05,0
199,0,23,8,1,0,0,0,3746.701
200,0,23,8,1,0,0,3403.056,0
201,0,23,9,1,0,1,19289.85,7600.104
202,0,23,10,1,0,1,9854.153,0
203,0,23,10,1,0,0,0,0
204,0,23,10,1,0,0,0,0
205,0,23,10,1,0,0,0,0
206,0,23,10,1,0,0,0,0
207,0,23,10,1,0,1,0,0
208,0,23,11,1,0,0,580.7901,0
209,0,23,11,1,0,0,5716.407,10274.84
210,0,23,11,0,0,0,19995.64,12896.22
211,0,23,11,1,0,0,0,0
212,0,23,11,1,0,0,0,4350.907
213,0,23,11,1,0,0,29897.19,23483.45
214,0,23,11,1,0,0,1896.023,5573.547
215,0,23,11,1,0,0,0,5088.76
216,0,23,11,1,0,0,0,0
217,0,23,12,0,1,0,8960.684,7078.178
218,0,24,4,0,1,0,0,3880.833
219,0,24,7,1,0,0,0,1455.69
220,0,24,7,1,0,0,0,2193.528
221,0,24,8,0,0,0,0,10569.27
222,0,24,9,1,0,0,4118.681,597.42
223,0,24,9,1,0,0,1275.356,8644.427
224,0,24,9,1,0,0,9662.67,0
225,0,24,9,1,0,0,0,16461.57
226,0,24,10,0,1,0,3000.838,5350.038
227,0,24,10,1,0,0,0,7618.639
228,0,24,10,1,0,0,1307.908,0
229,0,24,10,1,0,0,0,0
230,0,24,10,1,0,0,0,0
231,0,24,11,0,0,0,1468.383,10361.69
232,0,24,11,1,0,0,13370.58,19533.88
233,0,24,11,1,0,0,1327.993,9495.902
234,0,24,11,1,0,0,0,0
235,0,24,11,1,0,0,0,14626.39
236,0,24,12,0,0,0,0,11294.63
237,0,24,12,1,0,0,159.8847,0
238,0,24,12,1,0,0,0,0
239,0,24,12,0,0,1,24294.75,665.7374
240,0,24,12,1,0,0,8100.533,11235.11
241,0,25,7,0,1,0,1177.118,9722.349
242,0,25,8,1,0,0,0,3515.929
243,0,25,8,1,0,1,515.8274,14281.31
244,0,25,9,1,0,1,16946.63,7343.964
245,0,25,9,1,0,1,0,4715.371
246,0,25,9,0,1,0,0,15791.13
247,0,25,10,1,0,1,0,0
248,0,25,10,1,0,1,0,0
249,0,25,10,1,0,0,0,0
250,0,25,10,1,0,1,11696.37,11127.28
251,0,25,10,0,0,0,8140.402,3412.955
252,0,25,10,1,0,1,9319.444,0
253,0,25,10,1,0,0,0,289.7899
254,0,25,10,1,0,0,0,7367.04
255,0,25,10,1,0,0,0,20942.24
256,0,25,10,1,0,1,0,3701.812
257,0,25,11,0,1,1,0,4485.616
258,0,25,11,1,0,1,3266.406,479.2677
259,0,25,11,1,0,0,4284.429,4116.702
260,0,25,11,1,0,0,0,0
261,0,25,11,1,0,0,3072.726,284.6584
262,0,25,11,1,0,0,3649.769,0
263,0,25,11,1,0,0,0,0
264,0,25,11,1,0,0,2455.067,8764.148
265,0,25,11,1,0,0,0,1264.232
266,0,25,11,1,0,0,0,4196.375
267,0,25,11,1,0,1,0,44.75546
268,0,25,12,1,0,0,0,0
269,0,25,12,1,0,0,0,3418.097
270,0,25,12,1,0,1,0,0
271,0,25,13,1,0,0,3751.048,1672.776
272,0,25,13,1,0,0,10240.36,10020.72
273,0,26,5,1,0,0,0,0
274,0,26,6,1,0,0,0,4813.05
275,0,26,8,1,0,1,4084.258,0
276,0,26,8,0,0,1,36941.27,30247.5
277,0,26,8,1,0,0,5562.598,3523.578
278,0,26,9,1,0,0,6955.054,11856.88
279,0,26,10,1,0,0,0,3931.238
280,0,26,10,1,0,1,558.7734,0
281,0,26,10,1,0,1,9107.431,12659.58
282,0,26,10,1,0,0,0,2169.027
283,0,26,11,0,1,0,1491.016,0
284,0,26,11,1,0,0,1174.991,6672.021
285,0,26,11,1,0,0,0,7176.187
286,0,26,11,1,0,1,4184.732,0
287,0,26,12,1,0,0,0,0
288,0,26,12,1,0,0,7322.037,4677.049
289,0,26,12,1,0,1,0,6191.943
290,0,26,12,1,0,0,8479.593,10820.55
291,0,26,12,0,0,0,0,12383.68
292,0,26,13,0,0,0,5395.119,9766.2
293,0,26,14,1,0,1,2025.566,0
294,0,27,7,1,0,1,0,0
295,0,27,8,1,0,0,0,3783.66
296,0,27,9,1,0,0,2129.016,0
297,0,27,9,0,1,0,1596.762,6723.414
298,0,27,10,1,0,0,0,1184.882
299,0,27,10,1,0,1,11280.71,0
300,0,27,10,1,0,0,0,1135.47
301,0,27,11,1,0,1,20035.26,9074.764
302,0,27,11,1,0,1,4491.884,0
303,0,27,11,1,0,1,1122.621,215.8348
304,0,27,11,1,0,0,0,11197.34
305,0,27,11,1,0,0,766.2986,0
306,0,27,12,0,0,0,0,14792.9
307,0,27,12,1,0,0,32984.25,10833.34
308,0,27,12,0,0,0,5035.444,0
309,0,27,12,1,0,0,2483.851,3552.268
310,0,27,12,0,1,0,24276.97,15762.88
311,0,27,12,1,0,1,752.3901,0
312,0,27,12,0,1,0,2677.771,17395.17
313,0,27,13,1,0,0,8797.348,1653.481
314,0,27,13,0,0,0,474.5018,4812.576
315,0,27,13,1,0,0,0,7609.518
316,0,28,8,1,0,0,10610.08,4623.188
317,0,28,8,0,0,0,0,8190.421
318,0,28,9,1,0,1,9210.447,1239.844
319,0,28,9,1,0,0,0,0
320,0,28,10,1,0,0,10068.4,0
321,0,28,10,1,0,1,6449.48,16988.18
322,0,28,10,0,0,1,6346.193,6793.077
323,0,28,10,1,0,0,4479.587,128.672
324,0,28,10,1,0,0,6567.329,5435.787
325,0,28,10,1,0,0,367.8234,4858.895
326,0,28,11,0,1,1,0,6771.622
327,0,28,11,1,0,1,5393.895,4974.586
328,0,28,11,1,0,1,10033.91,0
329,0,28,11,1,0,0,0,5767.133
330,0,28,11,1,0,0,863.4795,0
331,0,28,11,0,0,0,3200.912,7645.055
332,0,28,11,1,0,0,13371.25,0
333,0,28,12,1,0,1,5551.456,12780.02
334,0,28,12,1,0,1,0,0
335,0,28,12,0,0,0,803.343,16477.02
336,0,28,12,1,0,1,29009.11,10067.43
337,0,28,13,1,0,0,0,0
338,0,28,14,1,0,0,6539.537,3123.116
339,0,29,8,1,0,0,0,0
340,0,29,9,0,1,0,16341.16,16900.3
341,0,29,9,1,0,0,9160.693,0
342,0,29,9,1,0,0,1203.824,9378.653
343,0,29,11,1,0,1,0,0
344,0,29,11,1,0,1,0,10225.88
345,0,29,11,1,0,0,0,0
346,0,29,11,1,0,0,3256.165,3290.293
347,0,29,12,1,0,0,2080.209,16969.95
348,0,29,12,0,0,0,12205.14,16328.96
349,0,29,12,1,0,0,0,1890.937
350,0,29,12,1,0,0,1359.347,132.76
351,0,29,13,1,0,0,2265.579,2725.322
352,0,29,14,1,0,0,3357.185,7226.049
353,0,30,8,1,0,0,1706.657,0
354,0,30,9,0,0,0,3141.917,1320.923
355,0,30,11,1,0,1,24105.39,7263.025
356,0,30,11,1,0,1,9311.938,3982.801
357,0,30,12,1,0,0,0,13613.35
358,0,30,13,1,0,0,5569.761,0
359,0,30,14,1,0,1,0,7344.678
360,0,31,4,0,0,0,10711.08,0
361,0,31,8,1,0,0,4577.68,6153.83
362,0,31,10,1,0,1,0,0
363,0,31,10,1,0,0,0,0
364,0,31,10,1,0,0,0,17014.59
365,0,31,10,1,0,0,520.4463,14527.88
366,0,31,11,1,0,0,1726.445,0
367,0,31,11,1,0,0,7505.213,308.3352
368,0,31,11,1,0,0,6382.587,0
369,0,31,11,1,0,0,18291.41,0
370,0,31,12,1,0,0,5613.909,0
371,0,31,12,1,0,0,0,7284.394
372,0,31,12,0,0,0,494.643,0
373,0,31,13,1,0,0,10393.61,7404.762
374,0,32,8,1,0,0,0,7152.132
375,0,32,10,1,0,0,0,0
376,0,32,11,1,0,0,0,11120.53
377,0,32,12,1,0,0,12419.18,10673.7
378,0,32,12,0,1,1,0,6735.32
379,0,33,5,0,1,0,0,0
380,0,33,9,0,1,1,0,0
381,0,33,11,1,0,0,2899.82,18859.89
382,0,33,11,1,0,0,0,0
383,0,33,12,1,0,0,0,5970.257
384,0,34,9,1,0,0,4368.413,14051.16
385,0,34,10,1,0,0,0,7952.54
386,0,34,10,1,0,1,0,0
387,0,34,11,1,0,1,0,6040.335
388,0,34,11,1,0,0,0,2920.199
389,0,34,11,1,0,0,8912.484,5611.866
390,0,34,12,1,0,0,4087.214,5670.82
391,0,34,12,1,0,0,0,2113.722
392,0,34,13,1,0,1,0,5193.247
393,0,35,10,1,0,0,0,445.8309
394,0,35,10,1,0,0,9902.763,9453.827
395,0,35,11,1,0,0,0,0
396,0,35,11,1,0,1,8720.905,0
397,0,36,7,1,0,0,1606.662,20780.65
398,0,36,10,1,0,0,0,0
399,0,36,10,1,0,0,0,14690.35
400,0,36,11,0,1,0,3063.878,1324.542
401,0,36,11,1,0,0,7311.561,0
402,0,36,12,1,0,0,142.3973,0
403,0,36,12,0,1,0,11491.95,4978.501
404,0,37,10,1,0,0,8606.743,0
405,0,38,8,1,0,0,0,0
406,0,38,10,1,0,0,0,0
407,0,38,10,1,0,1,14701.95,4393.523
408,0,38,10,1,0,0,0,12429.91
409,0,39,6,1,0,0,0,0
410,0,39,9,1,0,0,0,0
411,0,39,11,1,0,0,83.68964,0
412,0,39,12,1,0,1,6608.137,499.2572
413,0,39,12,1,0,1,0,3795.799
414,0,41,12,1,0,0,9818.467,0
415,0,42,10,1,0,0,0,6930.336
416,0,43,10,1,0,0,4128.443,7565.273
417,0,44,9,1,0,1,10857.24,12359.31
418,0,44,9,1,0,0,0,9722.003
419,0,44,11,1,0,0,0,0
420,0,45,9,1,0,0,0,4844.803
421,0,45,11,1,0,0,0,11796.47
422,0,50,8,1,0,1,5630.05,8997.193
423,0,50,10,0,1,0,0,0
424,0,54,11,1,0,0,0,7812.522
425,0,55,3,1,0,0,0,5843.796
426,1,17,7,1,0,0,0,3023.879
427,1,17,8,1,0,0,0,8061.485
428,1,17,8,1,0,0,0,0
429,1,17,8,1,0,0,0,0
430,1,17,9,0,0,0,1618.15,6011.021
431,1,17,9,0,1,0,74.34345,6210.67
432,1,17,9,1,0,0,0,1953.268
433,1,17,9,1,0,0,1253.439,5445.2
434,1,17,9,1,0,0,0,0
435,1,17,9,1,0,0,1667.583,5594.729
436,1,17,9,1,0,0,375.1047,3621.707
437,1,17,9,1,0,0,1341.651,1374.066
438,1,17,10,1,0,0,0,16218.04
439,1,17,10,1,0,0,856.8864,3251.1
440,1,17,10,1,0,0,5793.852,5522.788
441,1,17,10,1,0,0,1000.55,1433.531
442,1,17,10,1,0,0,0,0
443,1,17,10,1,0,0,0,0
444,1,17,10,1,0,0,156.9491,10641.24
445,1,17,10,0,1,0,2202.796,4387.057
446,1,17,10,1,0,0,0,0
447,1,17,11,1,0,0,8497.436,9017.004
448,1,18,6,1,0,0,0,0
449,1,18,8,0,1,1,0,2787.96
450,1,18,8,1,0,0,0,0
451,1,18,8,1,0,0,1199.641,0
452,1,18,9,1,0,0,3287.375,5010.342
453,1,18,9,1,0,0,0,4482.845
454,1,18,9,0,1,0,1713.773,8836.566
455,1,18,9,1,0,0,1182.786,5100.469
456,1,18,9,1,0,0,1285.33,15369.48
457,1,18,10,1,0,0,798.9079,9737.154
458,1,18,10,0,1,0,2589.042,0
459,1,18,10,0,1,0,12625.51,0
460,1,18,10,1,0,0,699.7896,480.527
461,1,18,10,1,0,0,1371.017,12064.41
462,1,18,10,1,0,0,0,11163.17
463,1,18,10,1,0,1,1958.096,10989.93
464,1,18,10,1,0,0,1784.274,11141.39
465,1,18,11,0,0,0,919.5579,4321.705
466,1,18,11,1,0,0,0,0
467,1,18,11,1,0,0,0,4814.627
468,1,18,11,0,1,0,5491.535,2454.5
469,1,18,11,1,0,0,851.6061,0
470,1,18,11,1,0,0,214.5636,929.8839
471,1,18,12,1,0,0,562.657,0
472,1,18,12,1,0,0,0,2321.107
473,1,18,12,0,1,0,535.5533,1115.86
474,1,19,8,1,0,0,2937.264,7535.942
475,1,19,8,1,0,0,2657.057,9970.681
476,1,19,8,0,1,0,1862.889,8774.623
477,1,19,8,0,0,0,3416.907,9251.357
478,1,19,9,0,1,0,6511.124,7913.386
479,1,19,9,1,0,0,798.9079,17685.18
480,1,19,9,0,0,0,0,13188.83
481,1,19,9,1,0,0,0,8173.908
482,1,19,9,0,1,0,3276.15,14271.23
483,1,19,10,1,0,0,1374.587,13278.97
484,1,19,10,1,0,0,6056.754,0
485,1,19,10,1,0,0,385.2741,8124.715
486,1,19,10,1,0,0,0,3228.503
487,1,19,10,1,0,0,3473.808,5861.603
488,1,19,10,1,0,0,3213.113,2975.031
489,1,19,10,0,0,0,5324.109,13829.62
490,1,19,11,1,0,0,2615.276,4146.603
491,1,19,11,1,0,0,0,7458.105
492,1,19,11,1,0,0,192.7995,661.1924
493,1,19,11,1,0,0,532.2536,0
494,1,19,11,0,1,1,5463.803,6788.463
495,1,19,11,1,0,0,10224.37,11293.81
496,1,19,11,1,0,0,6409.027,11648.7
497,1,19,11,1,0,0,1927.995,11965.81
498,1,19,12,1,0,0,2534.072,4551.979
499,1,20,6,0,1,1,10802.98,4488.495
500,1,20,7,1,0,0,1569.49,5518.083
501,1,20,9,1,0,0,0,8881.665
502,1,20,9,1,0,0,660.5159,12229.63
503,1,20,9,0,1,0,5875.049,1358.643
504,1,20,9,0,1,0,8015.442,5487.97
505,1,20,10,1,0,0,2777.355,5615.189
506,1,20,10,1,0,0,5100.839,13626.04
507,1,20,10,1,0,0,11073.09,0
508,1,20,11,1,0,0,1220.836,1085.44
509,1,20,11,1,0,0,6426.646,16451.46
510,1,20,11,1,0,0,0,3972.54
511,1,20,11,1,0,0,1484.994,6943.342
512,1,20,11,1,0,0,696.2192,0
513,1,20,12,1,0,0,9227.559,0
514,1,20,12,1,0,0,6085.421,9750.66
515,1,20,12,1,0,0,0,0
516,1,20,12,1,0,0,165.2077,0
517,1,20,12,1,0,0,377.5686,1652.637
518,1,20,12,1,0,0,1160.366,702.1839
519,1,20,12,0,0,1,8644.156,11656.51
520,1,21,8,1,0,0,3695.897,4279.613
521,1,21,9,1,0,0,0,0
522,1,21,9,1,0,0,5749.331,743.6666
523,1,21,11,0,1,0,6658.562,9381.295
524,1,21,11,1,0,1,4167.998,11300.24
525,1,21,11,1,0,0,2217.724,4082.37
526,1,21,11,1,0,0,2158.585,0
527,1,21,11,0,0,0,946.2279,11412.24
528,1,21,11,1,0,0,5310.107,7906.341
529,1,21,11,0,1,0,17983.71,15191.91
530,1,21,11,0,1,0,1395.39,0
531,1,21,12,0,0,0,7390.634,3557.934
532,1,21,12,0,0,0,334.0494,12558.02
533,1,21,12,1,0,0,807.9511,4350.907
534,1,21,12,1,0,0,3332.409,9371.037
535,1,21,12,1,0,0,0,9983.784
536,1,21,12,0,0,0,0,8048.603
537,1,21,12,1,0,0,0,1254.582
538,1,21,13,1,0,0,0,17094.64
539,1,21,13,1,0,0,24806.83,8803.666
540,1,21,13,0,0,0,8616.852,99.57002
541,1,22,9,0,1,0,0,3595.894
542,1,22,9,1,0,0,0,4056.494
543,1,22,9,1,0,0,3836.986,3462.564
544,1,22,10,1,0,1,5588.664,13228.28
545,1,22,10,1,0,0,653.9542,11134.98
546,1,22,10,1,0,0,1071.108,7315.452
547,1,22,11,1,0,0,7497.752,668.7466
548,1,22,11,1,0,0,8774.791,18295.82
549,1,22,11,1,0,0,12170.94,8408.393
550,1,22,11,0,0,0,0,1048.432
551,1,22,11,1,0,0,0,6456.697
552,1,22,11,1,0,0,606.9609,317.8952
553,1,22,12,0,0,0,8455.504,12590.71
554,1,22,12,1,0,0,0,18678.08
555,1,22,12,0,1,1,7055.702,10092.83
556,1,22,12,1,0,0,936.1773,0
557,1,22,16,1,0,0,0,2164.022
558,1,23,7,0,0,0,0,0
559,1,23,8,0,1,0,0,3881.284
560,1,23,8,0,0,1,1713.15,4232.309
561,1,23,9,1,0,0,1774.18,11464.71
562,1,23,10,1,0,0,15709.56,5665.066
563,1,23,10,1,0,0,2217.724,0
564,1,23,10,1,0,0,0,7693.4
565,1,23,10,1,0,1,936.4386,11233.26
566,1,23,10,1,0,1,10495.08,3385.811
567,1,23,11,1,0,0,1961.864,3689.126
568,1,23,11,1,0,0,8959.589,1659.5
569,1,23,11,1,0,0,0,0
570,1,23,12,1,0,1,0,5911.551
571,1,23,12,1,0,0,3039.96,8484.239
572,1,23,12,1,0,1,15079.95,10283.49
573,1,23,12,1,0,0,0,4843.176
574,1,23,12,1,0,0,0,0
575,1,23,12,0,0,0,3903.195,796.5597
576,1,23,12,0,1,0,1117.439,559.4432
577,1,23,12,1,0,0,7782.042,14416.84
578,1,23,12,1,0,0,7841.972,7947.257
579,1,23,12,1,0,0,501.0741,671.3318
580,1,24,9,1,0,0,2288.675,4849.559
581,1,24,10,1,0,0,0,0
582,1,24,10,1,0,0,0,0
583,1,24,10,1,0,0,2421.947,1660.508
584,1,24,10,1,0,1,4078.152,0
585,1,24,11,1,0,0,0,1991.4
586,1,24,11,1,0,0,9180.92,0
587,1,24,11,1,0,1,1666.113,4032.708
588,1,24,11,1,0,0,0,995.7002
589,1,24,12,1,0,0,12982.34,0
590,1,24,12,1,0,0,18154.06,0
591,1,24,12,0,1,1,7212.11,6485.508
592,1,24,12,1,0,0,2842.764,6167.681
593,1,24,15,1,0,0,13008.5,14683.63
594,1,25,5,1,0,0,0,6181.88
595,1,25,5,1,0,0,0,12187.41
596,1,25,8,1,0,0,0,0
597,1,25,8,0,0,0,23096.65,6421.53
598,1,25,8,1,0,0,37431.66,2346.828
599,1,25,9,1,0,0,1536.503,1709.342
600,1,25,10,1,0,0,0,0
601,1,25,10,0,0,0,4712.874,6103.746
602,1,25,11,1,0,0,0,485.2298
603,1,25,11,1,0,0,0,0
604,1,25,11,1,0,0,0,9897.049
605,1,25,11,1,0,1,0,1574.424
606,1,25,11,1,0,1,0,0
607,1,25,11,0,0,0,0,18783.35
608,1,25,12,1,0,0,0,0
609,1,25,12,1,0,0,0,3191.753
610,1,25,12,1,0,0,0,2348.973
611,1,25,12,1,0,0,2409.274,0
612,1,25,12,1,0,0,5204.259,0
613,1,25,12,0,0,0,0,5587.503
614,1,25,12,1,0,0,2746.608,2090.678
615,1,25,12,1,0,0,0,11965.81
616,1,25,13,1,0,0,3090.732,0
617,1,25,14,1,0,1,11536.57,36646.95
618,1,26,10,1,0,0,0,9265.788
619,1,26,10,1,0,0,6788.958,672.8773
620,1,26,10,1,0,1,0,0
621,1,26,10,1,0,1,8141.703,4635.66
622,1,26,11,1,0,1,1392.853,1460.36
623,1,26,11,0,0,0,2226.266,13385.86
624,1,26,11,0,0,0,22959.76,2746.614
625,1,26,11,1,0,0,0,17230.96
626,1,26,11,1,0,1,2754.646,26372.28
627,1,26,11,0,0,0,4676.457,1973.345
628,1,26,12,1,0,1,5794.831,1424.944
629,1,26,12,1,0,0,1088.907,11460.56
630,1,26,12,1,0,0,6608.803,5811.765
631,1,26,12,1,0,0,0,10747.35
632,1,27,8,1,0,0,7218.277,7976.932
